CDMercadoria;CDNCMSH2;Tipo Conteiner;Grupo de Mercadoria;Mercadoria;Nomenclatura Simplificada Mercadoria
3827;38;3827;Produtos diversos das indústrias químicas;Misturas que contenham derivados halogenados do metano, do etano;
0309;03;0309;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Farinhas, pós e pellets, de peixe, crustáceos, moluscos e de outros;
2404;24;2404;Tabaco e seus sucedâneos manufaturados;"Produtos que contenham tabaco, nicotina ou sucedâneos do tabaco ou da nicotina, destinados à inalação sem combustão; outros produtos que contenham nicotina destinados à absorção pelo corpo humano.";
8806;88;8806;Aeronaves e aparelhos espaciais, e suas partes;Veículos aéreos (aeronaves) não tripulados.;
45U1;CT;45U1;Contêineres;"40' HIGH CUBE OPEN TOP CONTAINER";Contêineres
12G0;CT;CONVENCIONAL;Contêineres;"GENERAL PURPOSE(10'/8'6) - DRY 10'";Contêineres
12R0;CT;REFRIGERADO BABY;Contêineres;"GENERAL PORPOSE (10'/8'6)-REEFER 10'";Contêineres
0101;01;0101;Animais vivos;Cavalos, asininos e muares, vivos;Animais Vivos
0102;01;0102;Animais vivos;Animais vivos da espécie bovina;Animais Vivos
0103;01;0103;Animais vivos;Animais vivos da espécie suína;Animais Vivos
0104;01;0104;Animais vivos;Animais vivos das espécies ovina e caprina;Animais Vivos
0105;01;0105;Animais vivos;"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";Animais Vivos
0106;01;0106;Animais vivos;Outros animais vivos;Animais Vivos
0201;02;0201;Carnes e miudezas, comestíveis;Carnes de animais da espécie bovina, frescas ou refrigeradas;Carnes Bovinas Congeladas
0202;02;0202;Carnes e miudezas, comestíveis;Carnes de animais da espécie bovina, congeladas;Carnes Bovinas Congeladas
0203;02;0203;Carnes e miudezas, comestíveis;Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0204;02;0204;Carnes e miudezas, comestíveis;Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0205;02;0205;Carnes e miudezas, comestíveis;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0206;02;0206;Carnes e miudezas, comestíveis;Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0207;02;0207;Carnes e miudezas, comestíveis;Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105;Carnes de Aves Congeladas
0208;02;0208;Carnes e miudezas, comestíveis;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0209;02;0209;Carnes e miudezas, comestíveis;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados;Carnes Diversas Congeladas
0210;02;0210;Carnes e miudezas, comestíveis;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas";Carnes Diversas Congeladas
0301;03;0301;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Peixes vivos;Animais Vivos
0302;03;0302;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04;Peixes
0303;03;0303;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Peixes congelados, exceto os filés de peixes e outra carne de peixes da posição 03.04;Peixes
0304;03;0304;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Filés de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados;Peixes
0305;03;0305;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;"Peixes secos, salgados ou em salmoura; peixes defumados, mesmo cozidos antes ou durante a defumação; farinhas, pós e pellets, de peixe, próprios para alimentação humana";Peixes
0306;03;0306;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;"Crustáceos, mesmo sem casca, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crustáceos com casca, cozidos em água ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura; farinhas, pó e pellets de crustáceos, pr";Crustáceos e Moluscos
0307;03;0307;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;"Moluscos, com ou sem concha, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; invertebrados aquáticos, exceto crustáceos e moluscos, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; farinhas, pó e pellets";Crustáceos e Moluscos
0308;03;0308;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Invertebrados aquáticos, exceto crustáceos e moluscos, vivos;Animais Vivos
0401;04;0401;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";Leite e nata, não concentrados nem adicionados de açúcar ou de outros edulcorantes;Leite e Derivados, Ovos e Mel
0402;04;0402;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";Leite e nata, concentrados ou adicionados de açúcar ou de outros edulcorantes;Leite e Derivados, Ovos e Mel
0403;04;0403;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";Leitelho, leite e nata coalhados, iogurte, kefir e outros leites e natas fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de frutas ou de cacau;Leite e Derivados, Ovos e Mel
0404;04;0404;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";"Soro de leite, mesmo concentrado ou adicionado de açúcar ou de outros edulcorantes; produtos constituídos por componentes naturais do leite, mesmo adicionados de açúcar ou de outros edulcorantes, não especificados nem compreendidos em outras posições";Leite e Derivados, Ovos e Mel
0405;04;0405;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";"Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite";Leite e Derivados, Ovos e Mel
0406;04;0406;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";Queijos e requeijão;Leite e Derivados, Ovos e Mel
0407;04;0407;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";Ovos de aves, com casca, frescos, conservados ou cozidos;Leite e Derivados, Ovos e Mel
0408;04;0408;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";Ovos de aves, sem casca, e gemas de ovos, frescos, secos, cozidos em água ou vapor, moldados, congelados ou conservados de outro modo, mesmo adicionados de açúcar ou de outros edulcorantes;Leite e Derivados, Ovos e Mel
0409;04;0409;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";Mel natural;Leite e Derivados, Ovos e Mel
0410;04;0410;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";Produtos comestíveis de origem animal, não especificados nem compreendidos noutras posições;Leite e Derivados, Ovos e Mel
0501;05;0501;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;"Cabelos em bruto, mesmo lavados ou desengordurados; desperdícios de cabelo";Outros Produtos de Origem Animal
0502;05;0502;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;"Cerdas de porco ou de javali; pêlos de texugo e outros pêlos para escovas, pincéis e artigos semelhantes; desperdícios destas cerdas e pêlos";Outros Produtos de Origem Animal
0503;05;0503;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;Crinas e seus desperdícios, mesmo em mantas;Outros Produtos de Origem Animal
0504;05;0504;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;Tripas, bexigas e estômagos de animais, exceto peixes, inteiros ou em pedaços, frescos, refrigerados, congelados, salgados, secos ou defumados;Outros Produtos de Origem Animal
0505;05;0505;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;"Peles e outras partes de aves, com as suas penas ou penugem, penas e partes de penas (mesmo aparadas), penugem, em bruto ou simplesmente limpas, desinfectadas ou preparadas tendo em vista a sua conservação; pós e desperdícios de penas ou de partes de pena";Outros Produtos de Origem Animal
0506;05;0506;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;"Ossos e núcleos córneos, em bruto, desengordurados ou simplesmente preparados (mas não cortados sob forma determinada), acidulados ou degelatinados; pós e desperdícios destas matérias";Outros Produtos de Origem Animal
0507;05;0507;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;"Marfim, carapaças de tartaruga, barbas, incluídas as franjas, de baleia ou de outros mamíferos marinhos, chifres, galhadas, cascos, unhas, garras e bicos, em bruto ou simplesmente preparados, mas não cortados em forma determinada; pós e desperdícios desta";Outros Produtos de Origem Animal
0508;05;0508;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;"Coral e matérias semelhantes, em bruto ou simplesmente preparados, mas não trabalhados de outro modo; conchas e carapaças de moluscos, crustáceos ou de equinodermes e ossos de sépias, em bruto ou simplesmente preparados, etc.";Outros Produtos de Origem Animal
0509;05;0509;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;Esponjas naturais de origem animal;Outros Produtos de Origem Animal
0510;05;0510;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;"Âmbar-cinzento, castóreo, algália e almíscar; bílis, mesmo seca; glândulas e outras substâncias de origem animal utilizadas na preparação de produtos farmacêuticos, frescas, refrigeradas, congeladas ou provisoriamente conservadas de outro modo";Outros Produtos de Origem Animal
0511;05;0511;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;"Produtos de origem animal, não especificados nem compreendidos em outras posições; animais mortos dos Capítulos 1 ou 3, impróprios para alimentação humana";Outros Produtos de Origem Animal
0601;06;0601;Plantas vivas e produtos de floricultura;"Bolbos, tubérculos, raízes tuberosas, rebentos e rizomas, em repouso vegetativo, em vegetação ou em flor; mudas, plantas e raízes de chicória, exceto as raízes da posição 1212";Plantas Vivas e Produtos de Floricultura
0602;06;0602;Plantas vivas e produtos de floricultura;"Outras plantas vivas (incluídas as suas raízes), estacas e enxertos; micélios de cogumelos";Plantas Vivas e Produtos de Floricultura
0603;06;0603;Plantas vivas e produtos de floricultura;Flores e seus botões, cortados para ramos ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo;Plantas Vivas e Produtos de Floricultura
0604;06;0604;Plantas vivas e produtos de floricultura;Folhagem, folhas, ramos e outras partes de plantas, sem flores nem botões de flores, e ervas, musgos e líquenes, para ramos ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo;Plantas Vivas e Produtos de Floricultura
0701;07;0701;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Batatas, frescas ou refrigeradas;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0702;07;0702;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Tomates, frescos ou refrigerados;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0703;07;0703;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Cebolas, chalotas, alho comum, alho-porro e outros produtos hortícolas aliáceos, frescos ou refrigerados;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0704;07;0704;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Couves, couve-flor, repolho ou couve frisada, couve-rábano e produtos comestíveis semelhantes do género Brassica, frescos ou refrigerados;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0705;07;0705;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Alface (Lactuca sativa) e chicórias (Cichorium spp.), frescas ou refrigeradas;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0706;07;0706;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Cenouras, nabos, beterrabas para salada, cercefi, aipo-rábano, rabanetes e raízes comestíveis semelhantes, frescos ou refrigerados;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0707;07;0707;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Pepinos e pepininhos (cornichons), frescos ou refrigerados;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0708;07;0708;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Legumes de vagem, com ou sem vagem, frescos ou refrigerados;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0709;07;0709;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Outros produtos hortícolas, frescos ou refrigerados;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0710;07;0710;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Produtos hortícolas, não cozidos ou cozidos em água ou vapor, congelados;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0711;07;0711;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Produtos hortícolas conservados transitoriamente (por exemplo: com gás sulfuroso ou água salgada, sulfurada ou adicionada de outras substâncias destinadas a assegurar transitoriamente a sua conservação), mas impróprios para a alimentação nesse estado;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0712;07;0712;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Produtos hortícolas secos, mesmo cortados em pedaços ou fatias, ou ainda triturados ou em pó, mas sem qualquer outro preparo;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0713;07;0713;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;Legumes de vagem, secos, em grão, mesmo pelados ou partidos;Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0714;07;0714;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;"Raízes de mandioca, de araruta e de salepo, topinambos, batatas-doces e raízes ou tubérculos semelhantes, com elevado teor de fécula ou de inulina, frescos, refrigerados, congelados ou secos, mesmo cortados em pedaços ou em pellets; medula de sagueiro";Produtos Hortícolas,  Plantas, Raízes e Tubérculos
0801;08;0801;"Frutas; cascas de frutos cítricos e de melões";Cocos, castanha do Brasil e castanha de caju, frescos ou secos, mesmo sem casca ou pelados;Cocos e Castanhas
0802;08;0802;"Frutas; cascas de frutos cítricos e de melões";Outras frutas de casca rija, frescas ou secas, mesmo sem casca ou peladas;Frutas Diversas
0803;08;0803;"Frutas; cascas de frutos cítricos e de melões";Bananas frescas ou secas;Banana
0804;08;0804;"Frutas; cascas de frutos cítricos e de melões";Tâmaras, figos, ananases (abacaxis), abacates, goiabas, mangas e mangostões, frescos ou secos;Frutas Diversas
0805;08;0805;"Frutas; cascas de frutos cítricos e de melões";Citrinos, frescos ou secos;Frutas Diversas
0806;08;0806;"Frutas; cascas de frutos cítricos e de melões";Uvas frescas ou secas;Uva
0807;08;0807;"Frutas; cascas de frutos cítricos e de melões";Melões, melancias e papaias (mamões), frescos;Melões, Melancias e Mamões
0808;08;0808;"Frutas; cascas de frutos cítricos e de melões";Maçãs, pêras e marmelos, frescos;Frutas Diversas
0809;08;0809;"Frutas; cascas de frutos cítricos e de melões";Damascos, cerejas, pêssegos (incluídas as nectarinas), ameixas e abrunhos, frescos;Frutas Diversas
0810;08;0810;"Frutas; cascas de frutos cítricos e de melões";Outras frutas frescas;Frutas Diversas
0811;08;0811;"Frutas; cascas de frutos cítricos e de melões";Frutas, não cozidas ou cozidas em água ou vapor, congeladas, mesmo adicionadas de açúcar ou de outros edulcorantes;Frutas Diversas
0812;08;0812;"Frutas; cascas de frutos cítricos e de melões";Frutas conservadas transitoriamente (por exemplo: com gás sulfuroso ou água salgada, sulfurada ou adicionada de outras substâncias destinadas a assegurar transitoriamente a sua conservação), mas impróprias para alimentação nesse estado;Frutas Diversas
0813;08;0813;"Frutas; cascas de frutos cítricos e de melões";"Frutas secas, exceto das posições 0801 a 0806; misturas de frutas secas ou de frutas de casca rija, do presente capítulo";Frutas Diversas
0814;08;0814;"Frutas; cascas de frutos cítricos e de melões";Cascas de frutos cítricos, de melões ou de melancias, frescas, secas, congeladas ou apresentadas em água salgada, sulfurada ou adicionada de outras substâncias destinadas a assegurar transitoriamente a sua conservação;Frutas Diversas
0901;09;0901;Café, chá, mate e especiarias;"Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café contendo café em qualquer proporção";Café
0902;09;0902;Café, chá, mate e especiarias;Chá, mesmo aromatizado;Chá, Mate e Especiarias
0903;09;0903;Café, chá, mate e especiarias;Mate;Chá, Mate e Especiarias
0904;09;0904;Café, chá, mate e especiarias;"Pimenta (do género Piper); pimentos dos géneros Capsicum ou Pimenta, secos ou triturados ou em pó";Chá, Mate e Especiarias
0905;09;0905;Café, chá, mate e especiarias;Baunilha;Chá, Mate e Especiarias
0906;09;0906;Café, chá, mate e especiarias;Canela e flores de caneleira;Chá, Mate e Especiarias
0907;09;0907;Café, chá, mate e especiarias;Cravo-da-índia (frutos, flores e pedúnculos);Chá, Mate e Especiarias
0908;09;0908;Café, chá, mate e especiarias;Noz-moscada, macis, amomos e cardamomos;Chá, Mate e Especiarias
0909;09;0909;Café, chá, mate e especiarias;"Sementes de anis, badiana, funcho, coentro, cominho ou de alcaravia; bagas de zimbro";Chá, Mate e Especiarias
0910;09;0910;Café, chá, mate e especiarias;Gengibre, açafrão, curcuma, tomilho, louro, caril e outras especiarias;Chá, Mate e Especiarias
1001;10;1001;Cereais;Trigo e mistura de trigo com centeio;Trigo
1002;10;1002;Cereais;Centeio;Centeio
1003;10;1003;Cereais;Cevada;Cevada
1004;10;1004;Cereais;Aveia;Aveia
1005;10;1005;Cereais;Milho;Milho
1006;10;1006;Cereais;Arroz;Arroz
1007;10;1007;Cereais;Sorgo de grão;Sorgo
1008;10;1008;Cereais;"Trigo mourisco, painço e alpista; outros cereais";Trigo Mourisco
1101;11;1101;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";Farinhas de trigo ou de mistura de trigo com centeio;Farinha de Trigo
1102;11;1102;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio;Produtos da Indústria de Moagem
1103;11;1103;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";Grumos, sêmolas e pellets, de cereais;Produtos da Indústria de Moagem
1104;11;1104;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";"Grãos de cereais trabalhados de outro modo (por exemplo: descascados, pelados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 1006; germes de cereais, inteiros, esmagados, em flocos ou moídos";Produtos da Indústria de Moagem
1105;11;1105;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";Farinha, sêmola, pó, flocos, grânulos e pellets de batata;Produtos da Indústria de Moagem
1106;11;1106;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";Farinhas, sêmolas e pós, de legumes de vagem secos da posição 0713, de sagu ou das raízes ou tubérculos da posição 0714 e dos produtos do Capítulo 8;Produtos da Indústria de Moagem
1107;11;1107;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";Malte, mesmo torrado;Malte
1108;11;1108;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";"Amidos e féculas; inulina";Amido, Fécula e Inulina
1109;11;1109;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";Glúten de trigo, mesmo seco;Glúten de Trigo
1201;12;1201;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Soja, mesmo triturada;Soja
1202;12;1202;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados;Sementes e Frutos Oleaginosos
1203;12;1203;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Copra em grãos;Sementes e Frutos Oleaginosos
1204;12;1204;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Sementes de linho (linhaça), mesmo trituradas;Sementes e Frutos Oleaginosos
1205;12;1205;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Sementes de nabo silvestre ou de colza, mesmo trituradas;Sementes e Frutos Oleaginosos
1206;12;1206;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Sementes de girassol, mesmo trituradas;Sementes e Frutos Oleaginosos
1207;12;1207;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Outras sementes e frutos oleaginosos, mesmo triturados;Sementes e Frutos Oleaginosos
1208;12;1208;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Farinhas de sementes ou de frutos oleaginosos, exceto farinha de mostarda;Farinha de Soja
1209;12;1209;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Sementes, frutos e esporos, para sementeira;Sementes e Frutos Oleaginosos
1210;12;1210;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";"Cones de lúpulo, frescos ou secos, mesmo triturados ou moídos ou em pellets; lupulina";Plantas, Palhas e Forragens
1211;12;1211;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Plantas, partes de plantas, sementes e frutos, das espécies utilizadas principalmente em perfumaria, medicina ou como insecticidas, parasiticidas e semelhantes, frescos ou secos, mesmo cortados, triturados ou em pó;Plantas, Palhas e Forragens
1212;12;1212;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";"Alfarroba, algas, beterraba sacarina e cana-de-açúcar, frescas, refrigeradas, congeladas ou secas, mesmo em pó; caroços e amêndoas de frutos e outros produtos vegetais (incluídas as raízes de chicória não torradas, da variedade Cichorium intybus sativum)";Plantas, Palhas e Forragens
1213;12;1213;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Palhas, cascas de cereais, em bruto, moidas, prensadas, etc.;Plantas, Palhas e Forragens
1214;12;1214;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";Rutabagas, beterrabas forrageiras, raízes forrageiras, feno, luzerna, trevo, sanfeno, couves forrageiras, tremoço, ervilhaca e produtos forrageiros semelhantes, mesmo em pellets;Plantas, Palhas e Forragens
1301;13;1301;Gomas, resinas e outros sucos e extratos vegetais;"Goma-laca; gomas, resinas, gomas-resinas e oleorresinas (bálsamos por exemplo), naturais";Gomas, Resinas e Outros Extratos Vegetais
1302;13;1302;Gomas, resinas e outros sucos e extratos vegetais;"Sucos e extractos vegetais; matérias pécticas, pectinatos e pectatos; ágar-ágar e outros produtos mucilaginosos e espessantes derivados dos vegetais, mesmo modificados";Gomas, Resinas e Outros Extratos Vegetais
1401;14;1401;Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos;Matérias vegetais das espécies principalmente utilizadas em cestaria ou espartaria (por exemplo: bambus, rotins, canas, juncos, vimes, ráfia, palha de cereais limpa, branqueada ou tingida, casca de tília);Fibras, Fios, Tecidos e Outros Artefatos
1402;14;1402;Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos;Matérias vegetais para enchimento e estofamento;Fibras, Fios, Tecidos e Outros Artefatos
1403;14;1403;Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos;Matérias vegetais para fabricação de vassouras;Fibras, Fios, Tecidos e Outros Artefatos
1404;14;1404;Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos;Produtos vegetais não especificados nem compreendidos noutras posições;Fibras, Fios, Tecidos e Outros Artefatos
1501;15;1501;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Gorduras de porco (incluindo a banha) e gordura de aves;Gorduras e Óleos Animais ou Vegetais
1502;15;1502;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Gorduras de animais das espécies bovina, ovina ou caprina, exceto as da posição 1503;Gorduras e Óleos Animais ou Vegetais
1503;15;1503;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Estearina solar, óleo de banha de porco, óleo-estearina, óleo-margarina e óleo de sebo, não emulsionados nem misturados, nem preparados de outro modo;Gorduras e Óleos Animais ou Vegetais
1504;15;1504;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Gorduras, óleos e respectivas fracções, de peixes ou de mamíferos marinhos, mesmo refinados, mas não quimicamente modificados;Gorduras e Óleos Animais ou Vegetais
1505;15;1505;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Suarda e substâncias gordas dela derivadas, incluindo a lanolina;Gorduras e Óleos Animais ou Vegetais
1506;15;1506;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Outras gorduras e óleos animais, e respectivas frações, mesmo refinados, mas não quimicamente modificados;Gorduras e Óleos Animais ou Vegetais
1507;15;1507;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados;Óleo de Soja
1508;15;1508;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Óleo de amendoim e respectivas fracções, mesmo refinados, mas não quimicamente modificados;Gorduras e Óleos Animais ou Vegetais
1509;15;1509;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Azeite de oliveira e respectivas fracções, mesmo refinados, mas não quimicamente modificados;Azeite
1510;15;1510;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Outros óleos e respectivas frações, obtidos exclusivamente a partir de azeitonas, mesmo refinados, mas não quimicamente modificados, e misturas desses óleos ou frações com óleos ou frações da posição 15.09;Gorduras e Óleos Animais ou Vegetais
1511;15;1511;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Óleo de palma e respectivas fracções, mesmo refinados, mas não quimicamente modificados;Óleo de Palma
1512;15;1512;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Óleos de girassol, de cártamo ou de algodão e respectivas fracções, mesmo refinados, mas não quimicamente modificados;Gorduras e Óleos Animais ou Vegetais
1513;15;1513;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";Óleos de coco (óleo de copra), de palmiste ou de babaçu e respectivas fracções, mesmo refinados, mas não quimicamente modificados;Gorduras e Óleos Animais ou Vegetais
